																												Abundances of TMT tag in MS3 (Normalized)							
High	Q9NZ45	CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1	0	9.38	26	2	4	2	108	12.2	9.09	13.46	2	regulation of biological process	membrane;mitochondrion	metal ion binding;protein binding	Pf09360	55847	ENSG00000122873.11	10	Adipogenesis	CISD1			1	0		635.4	442.8	411.5	312.9	1200.3	1631.9	1	
High	H9KV45	Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1	0	9.376	31	3	5	3	141	15.9	6.29	16.3	3			nucleotide binding	"Pf00179, Pf14461"		ENSG00000109332.19	4					0	0		119	267.1	271.3	315.5	272.1	213.6	1	Met-loss [N-Term]
High	Q9UQN3	Charged multivesicular body protein 2b OS=Homo sapiens OX=9606 GN=CHMP2B PE=1 SV=1	0	9.363	15	4	7	4	213	23.9	8.76	18	4	cell communication;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;endosome;membrane;vacuole	protein binding	Pf03357	25978	ENSG00000083937.8	3		CHMP2B	Endocytosis	Budding and maturation of HIV virion; Macroautophagy; Endosomal Sorting Complex Required For Transport (ESCRT)	12	0		500.5	516.9	537.2	607.4	917.3	794.3	1	
High	Q2M389	WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2	0	9.351	3	3	3	3	1173	136.3	7.44	5.55	3	cell organization and biogenesis;transport	endosome		"Pf14744, Pf14745, Pf14746"	23325	ENSG00000136051.13	12		KIAA1033; WASHC4	Endocytosis		1	0								1	
High	O75928	E3 SUMO-protein ligase PIAS2 OS=Homo sapiens OX=9606 GN=PIAS2 PE=1 SV=3	0	9.348	8	3	4	1	621	68.2	7.52	13.28	3	metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	"Pf02891, Pf14324"	9063	ENSG00000078043.15	18	Androgen receptor signaling pathway; TGF-beta Signaling Pathway	PIAS2	Small cell lung cancer; Pathways in cancer; Jak-STAT signaling pathway; Ubiquitin mediated proteolysis	SUMOylation of transcription factors; Activation of anterior HOX genes in hindbrain development during early embryogenesis; SUMOylation of DNA damage response and repair proteins	15	1								1	
High	A0A0J9YWB6	RNA polymerase II subunit A C-terminal domain phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=CTDP1 PE=1 SV=1	0	9.341	5	4	4	4	805	87.1	5.72	9.9	4	metabolic process	nucleus	catalytic activity	"Pf00533, Pf03031, Pf09309, Pf12738"		ENSG00000282752.1	CHR_HSCHR18_3_CTG2_1					0	0		77.3	378.8	358	278.2	380.4	185.8	1	
High	O95470	Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3	0	9.337	6	4	5	4	568	63.5	9.16	11.61	4	cell death;cell differentiation;cellular component movement;metabolic process;regulation of biological process;response to stimulus	endoplasmic reticulum;membrane	catalytic activity;protein binding	"Pf00155, Pf00266, Pf00282, Pf01053, Pf05889"	8879	ENSG00000166224.16	10	Kennedy pathway	SGPL1	Sphingolipid metabolism; Sphingolipid signaling pathway; Metabolic pathways	Sphingolipid de novo biosynthesis	8	0		92.3	37.7	30.1	35.6	1100.6	325.1	1	
High	Q9UDX5	Mitochondrial fission process protein 1 OS=Homo sapiens OX=9606 GN=MTFP1 PE=1 SV=1	0	9.329	28	4	5	4	166	18	9.31	8.9	4	cell death;cell organization and biogenesis;response to stimulus	membrane;mitochondrion		Pf10558	51537	ENSG00000242114.5	22		MTFP1			0	0		262.4	170.1	161.9	138.9	239.8	571.6	1	
High	Q9Y3A6	Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TMED5 PE=1 SV=1	0	9.317	17	4	8	4	229	26	4.84	19.94	4	cell organization and biogenesis;transport	endoplasmic reticulum;Golgi;membrane	protein binding	Pf01105	50999	ENSG00000117500.12	1		TMED5		WNT ligand biogenesis and trafficking	3	0		636	549.9	577.8	394.6	1618.4	931.2	1	
High	A0A2H2FJL5	CCR4-NOT transcription complex subunit 3 OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1	0	9.312	6	3	3	1	571	58.8	5.11	9.67	3												0	0		31.4	90.1	88.9	94.3	81.3	90.8	1	Met-loss [N-Term]
High	Q6PII3	Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=3	0	9.304	6	3	4	3	467	53.9	6.33	11.23	3		nucleus	protein binding	Pf13300	51244	ENSG00000154781.15	3		CCDC174			0	0		169.3	219.1	199.6	223.8	119.9	174	1	
High	Q9GZU8	PSME3-interacting protein OS=Homo sapiens OX=9606 GN=PSME3IP1 PE=1 SV=1	0	9.298	13	3	5	3	254	28.9	5.45	16.76	3		nucleus	protein binding	Pf10187	80011	ENSG00000172775.16	16		FAM192A			0	0		49	89.9	76.7	69	79.4	55.2	1	
High	Q9BZK3	Putative nascent polypeptide-associated complex subunit alpha-like protein OS=Homo sapiens OX=9606 GN=NACA4P PE=5 SV=1	0	9.28	13	2	4	1	213	23.3	4.59	15.84	2				Pf01849	83955		8		NACAP1			0	0								1	
High	Q15742	NGFI-A-binding protein 2 OS=Homo sapiens OX=9606 GN=NAB2 PE=1 SV=1	0	9.279	10	3	3	3	525	56.6	6.96	8.58	3	cell differentiation;cell proliferation;metabolic process;regulation of biological process	nucleus	protein binding	"Pf04904, Pf04905"	4665	ENSG00000166886.12	12		NAB2			0	0		48.1	100.8	108.2	108.5	405	89.7	1	
High	A0A3B3ITH3	Protein IMPACT OS=Homo sapiens OX=9606 GN=IMPACT PE=1 SV=1	0	9.27	8	2	2	2	332	37.4	4.79	6.3	2												0	0		8.2	43.7	40.3	31.7	22.3	14.7	1	
High	Q86SE5	RNA-binding Raly-like protein OS=Homo sapiens OX=9606 GN=RALYL PE=1 SV=2	0	9.264	9	3	11	1	291	32.3	7.93	29.95	3		nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	138046	ENSG00000184672.11	8		RALYL			0	0			3.8	3.8	5.8	156.7	102.6	1	
High	A0A140TA86	MICOS complex subunit MIC13 OS=Homo sapiens OX=9606 GN=MICOS13 PE=1 SV=1	0	9.254	40	4	7	4	140	15.4	9.03	17.18	4	cell organization and biogenesis	membrane;mitochondrion			125988	ENSG00000174917.8	19		C19orf70			0	0		732.8	365.5	370.4	314.5	641.9	1028.6	1	
High	Q86SE9	Polycomb group RING finger protein 5 OS=Homo sapiens OX=9606 GN=PCGF5 PE=1 SV=1	0	9.248	9	2	4	2	256	29.7	6.52	13.91	2	cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;nucleus	metal ion binding;protein binding	"Pf00097, Pf13639, Pf13923, Pf15227"	84333	ENSG00000180628.14	10		PCGF5	Signaling pathways regulating pluripotency of stem cells	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	6	0								1	
High	Q96N46	Tetratricopeptide repeat protein 14 OS=Homo sapiens OX=9606 GN=TTC14 PE=1 SV=1	0	9.247	5	3	4	3	770	88.3	8.63	9.89	3			protein binding	"Pf13414, Pf13424, Pf13432"	151613	ENSG00000163728.10	3	Ectoderm Differentiation	TTC14			1	0		130.9	159.8	142.4	126.7	74.2	51.9	1	
High	B8ZZ31	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q OS=Homo sapiens OX=9606 GN=PIGQ PE=1 SV=2	0	9.246	9	2	2	2	396	42.8	8.51	7.54	2						ENSG00000007541.16	16					0	0								1	
High	A0A2Y9D025	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=1	0	9.239	22	3	6	3	154	17.9	10.14	17.23	3												0	0		1861.2	515.8	456.3	315.7	665.3	948.3	1	
High	C9JRD2	DnaJ homolog subfamily B member 2 (Fragment) OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=1	0	9.238	15	3	4	2	228	25.4	5.73	11.79	3				Pf00226		ENSG00000135924.15	2					0	0		13.1	20.5	19	18	25.4	73.6	1	
High	Q6PID6	Tetratricopeptide repeat protein 33 OS=Homo sapiens OX=9606 GN=TTC33 PE=1 SV=2	0	9.238	13	3	5	3	262	29.4	5.44	16.01	3			protein binding	"Pf07719, Pf13414"	23548	ENSG00000113638.13	5		TTC33			0	0		52.1	230.1	190.1	181	114.4	83.9	1	
High	A0A0C4DGW6	UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1	0	9.231	14	2	4	2	152	17	4.56	9.81	2		cytosol			285636	ENSG00000205765.8	5		C5orf51			0	0		35.6	94.4	114.1	97.2	91.2	68.9	1	
High	P35914	"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2"	0	9.221	12	3	4	3	325	34.3	8.54	11.29	3	cell organization and biogenesis;metabolic process;response to stimulus	membrane;mitochondrion;organelle lumen	catalytic activity;metal ion binding;protein binding	Pf00682	3155	ENSG00000117305.14	1	Synthesis and Degradation of Ketone Bodies; Amino Acid metabolism	HMGCL	"Peroxisome; Metabolic pathways; Valine, leucine and isoleucine degradation; Synthesis and degradation of ketone bodies; Butanoate metabolism"	Synthesis of Ketone Bodies	11	0								1	
High	O43819	"Protein SCO2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=SCO2 PE=1 SV=3"	0	9.218	13	3	3	3	266	29.8	8.85	8.75	3	cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;transport	membrane;mitochondrion;organelle lumen	antioxidant activity;catalytic activity;metal ion binding;protein binding	"Pf00578, Pf02630, Pf13905"	9997	ENSG00000130489.14; ENSG00000284194.1	22	Copper homeostasis	SCO2	Central carbon metabolism in cancer	TP53 Regulates Metabolic Genes; Respiratory electron transport	11	0								1	
High	Q6DKK2	"Tetratricopeptide repeat protein 19, mitochondrial OS=Homo sapiens OX=9606 GN=TTC19 PE=1 SV=4"	0	9.214	8	3	4	3	380	42.4	5.77	10.46	3	cell division;cell organization and biogenesis;metabolic process;transport	membrane;mitochondrion	protein binding	"Pf13414, Pf13424"	54902	ENSG00000011295.15	17		TTC19			0	0		23.7	49.9	61.2	61	40.2	35.6	1	
High	Q12851	Mitogen-activated protein kinase kinase kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP4K2 PE=1 SV=2	0	9.202	5	3	4	3	820	91.5	6.34	7.99	3	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;Golgi;membrane	catalytic activity;nucleotide binding;protein binding;signal transducer activity	"Pf00069, Pf00780, Pf07714"	5871	ENSG00000168067.11	11	TNF alpha Signaling Pathway; Angiopoietin Like Protein 8 Regulatory Pathway; Insulin Signaling	MAP4K2	MAPK signaling pathway		4	0								1	
High	Q96CT7	Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1	0	9.189	14	3	4	3	223	25.8	9.54	13.76	3	cell division	cytoplasm;cytoskeleton	RNA binding	Pf06244	115098	ENSG00000007080.10	19		CCDC124			0	0		79.8	90.4	69.5	62.3	65	113	1	
High	Q9UIJ7	"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4"	0	9.182	11	2	5	2	227	25.6	9.16	14.17	2	coagulation;metabolic process	mitochondrion;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00406, Pf05191, Pf13207, Pf13238, Pf13671"	50808	ENSG00000147853.16	9		AK3	Purine metabolism	Factors involved in megakaryocyte development and platelet production	3	0		77.6	75	66	72.8	171.6	103.1	1	
High	A0A0G2JIC6	"28S ribosomal protein S18b, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS18B PE=1 SV=1"	0	9.172	13	2	3	2	215	24.3	8.56	10.55	2	cell organization and biogenesis;metabolic process	membrane;mitochondrion;ribosome	protein binding;structural molecule activity		28973	ENSG00000227420.8; ENSG00000229861.8; ENSG00000233813.8; ENSG00000223775.8; ENSG00000226111.8; ENSG00000203624.10	6; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_QBL_CTG1		MRPS18B			0	0		45.1	53.5	54.5	37.3	40.3	47.6	1	
High	Q9UHR6	Zinc finger HIT domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZNHIT2 PE=1 SV=1	0	9.171	10	2	2	2	403	42.9	5.99	7.22	2	cell differentiation		metal ion binding	Pf04438	741	ENSG00000174276.6	11		ZNHIT2			0	0								1	
High	A0A0A0MTL5	S-phase kinase-associated protein 2 OS=Homo sapiens OX=9606 GN=SKP2 PE=1 SV=1	0	9.169	8	3	4	3	435	48.9	6.99	11.38	3		cytosol;nucleus	protein binding	"Pf00646, Pf12937"		ENSG00000145604.15	5	Imatinib and Chronic Myeloid Leukemia				1	0		31.4	53.2	50.6	58.5	26.6	11.6	1	
High	H7BXQ8	Armadillo repeat-containing protein 10 OS=Homo sapiens OX=9606 GN=ARMC10 PE=1 SV=1	0	9.166	14	2	3	2	193	20.9	7.84	11.1	2	regulation of biological process	endoplasmic reticulum;membrane;mitochondrion		Pf04826	83787	ENSG00000170632.13	7		ARMC10			0	0		117.5	88.5	67.2	57.8	89.9	195.1	1	
High	P46939	Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2	0	9.155	1	3	4	3	3433	394.2	5.33	12.94	3	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;membrane	metal ion binding;protein binding	"Pf00307, Pf00397, Pf00435, Pf00569, Pf09068, Pf09069, Pf11971"	7402	ENSG00000152818.18	6	Primary Focal Segmental Glomerulosclerosis FSGS	UTRN			1	0		18	9.4	7.4	12.1	128.6	45.6	1	
High	Q16514	Transcription initiation factor TFIID subunit 12 OS=Homo sapiens OX=9606 GN=TAF12 PE=1 SV=1	0	9.111	21	4	4	4	161	17.9	7.99	11.62	4	cell organization and biogenesis;metabolic process;regulation of biological process	nucleus	catalytic activity;DNA binding;protein binding	"Pf00125, Pf00808, Pf03847"	6883	ENSG00000120656.11	1	Eukaryotic Transcription Initiation	TAF12	Basal transcription factors	RNA Polymerase II Transcription Initiation; HIV Transcription Initiation; RNA Polymerase II Transcription Pre-Initiation And Promoter Opening; HATs acetylate histones; RNA Polymerase II HIV Promoter Escape; Regulation of TP53 Activity through Phosphorylation; RNA Polymerase II Pre-transcription Events; RNA Polymerase II Promoter Escape	24	0		439.6	667.1	645.2	593.4	477.8	411.2	1	
High	Q9H871	E3 ubiquitin-protein transferase RMND5A OS=Homo sapiens OX=9606 GN=RMND5A PE=1 SV=1	0	9.107	9	3	5	3	391	44	6.06	14.81	3	metabolic process	cytoplasm;nucleus	catalytic activity;protein binding	"Pf10607, Pf13445"	64795	ENSG00000153561.12	2		RMND5A			0	0		55.1	193.2	177.8	144	164	126.9	1	
High	V9GYU0	Mitochondrial import inner membrane translocase subunit Tim17-B (Fragment) OS=Homo sapiens OX=9606 GN=TIMM17B PE=1 SV=1	0	9.101	28	2	3	2	159	17	10.96	11.53	2	transport	membrane	transporter activity	Pf02466		ENSG00000126768.12	X					0	0		37.1	16	13.8	13.1	41.8	57.2	1	
High	Q86W56	Poly(ADP-ribose) glycohydrolase OS=Homo sapiens OX=9606 GN=PARG PE=1 SV=1	0	9.048	3	3	3	3	976	111	6.43	8.15	3	metabolic process;response to stimulus	cytoplasm;cytosol;membrane;mitochondrion;nucleus;organelle lumen	catalytic activity;protein binding	Pf05028	8505; 670	ENSG00000227345.8	10; 6		PARG; BPHL		POLB-Dependent Long Patch Base Excision Repair	5	0		11	36	26.1	28.6	19.7	14.4	1	
High	Q96BD5	PHD finger protein 21A OS=Homo sapiens OX=9606 GN=PHF21A PE=1 SV=1	0	9.046	4	2	2	2	680	74.8	9.45	7.92	2	cell organization and biogenesis;coagulation;metabolic process;regulation of biological process	nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	"Pf00628, Pf13771, Pf13831"	51317	ENSG00000135365.15	11		PHF21A		HDACs deacetylate histones; Factors involved in megakaryocyte development and platelet production	5	0		243.9	167.7	171.1	168.2	188.9	160.4	1	
High	Q9UIL1	Short coiled-coil protein OS=Homo sapiens OX=9606 GN=SCOC PE=1 SV=2	0	9.037	28	2	3	2	159	18	8.85	13.5	2	metabolic process;regulation of biological process	cytoplasm;cytosol;endosome;Golgi;membrane	protein binding	"Pf04111, Pf10211, Pf10224"	60592	ENSG00000153130.17	4		SCOC		Retrograde transport at the Trans-Golgi-Network	4	0		21	39.6	33.7	32.7	25.5	29.8	1	
High	O95159	Zinc finger protein-like 1 OS=Homo sapiens OX=9606 GN=ZFPL1 PE=1 SV=2	0	9.035	14	3	4	3	310	34.1	8.07	7.61	3	regulation of biological process;transport	Golgi;membrane;nucleus	DNA binding;metal ion binding		7542	ENSG00000162300.11	11		ZFPL1			0	0		236.3	142.6	137.4	120.6	752	376.7	1	
High	E9PJH7	Mitochondrial glutamate carrier 1 (Fragment) OS=Homo sapiens OX=9606 GN=SLC25A22 PE=1 SV=5	0	9.03	12	3	3	3	313	33.3	9.67	6.07	3	transport	membrane		Pf00153		ENSG00000177542.10	11					0	0		313.3	117.4	118	84.4	328.1	339.4	1	
High	O15297	Protein phosphatase 1D OS=Homo sapiens OX=9606 GN=PPM1D PE=1 SV=1	0	9.029	6	3	4	3	605	66.6	8.94	9.62	3	cell communication;metabolic process;regulation of biological process;response to stimulus	cytosol;nucleus	catalytic activity;metal ion binding;protein binding	"Pf00481, Pf13672"	8493	ENSG00000170836.11	17	ATM Signaling Network in Development and Disease	PPM1D	p53 signaling pathway	Transcriptional regulation by RUNX2	6	0		202.8	193.1	180.3	189.9	148.1	226.5	1	
High	E5RFF9	DNA replication complex GINS protein SLD5 OS=Homo sapiens OX=9606 GN=GINS4 PE=1 SV=1	0	9.029	20	3	6	3	192	22.6	4.89	17.3	3	metabolic process	nucleus		Pf05916		ENSG00000147536.11	8					0	0								1	
High	Q15797	Mothers against decapentaplegic homolog 1 OS=Homo sapiens OX=9606 GN=SMAD1 PE=1 SV=1	0	9.019	7	3	4	2	465	52.2	7.31	12.46	3	cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	DNA binding;metal ion binding;protein binding;RNA binding;signal transducer activity	"Pf03165, Pf03166, Pf10401"	4086	ENSG00000170365.9	4	Bone Morphogenic Protein (BMP) Signalling and Regulation; Angiogenesis; Heart Development; Neural Crest Differentiation; Mesodermal Commitment Pathway; Differentiation of white and brown adipocyte; BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation; BMP Signaling Pathway in Eyelid Development; ESC Pluripotency Pathways; TGF-beta Receptor Signaling	SMAD1	Hippo signaling pathway; Signaling pathways regulating pluripotency of stem cells; Transcriptional misregulation in cancer; TGF-beta signaling pathway	Signaling by BMP; Ub-specific processing proteases; RUNX2 regulates bone development	26	0		117.5	103.8	90.6	113.7	93.7	64.6	1	
High	Q9BX10	GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GTPBP2 PE=1 SV=1	0	9.019	5	3	4	3	602	65.7	8.05	11.19	3	transport	extracellular;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00009, Pf03143"	54676	ENSG00000172432.18	6		GTPBP2		Platelet degranulation	4	0		36.5	42.5	50.3	55.5	76.5	208.6	1	
High	P54619	5'-AMP-activated protein kinase subunit gamma-1 OS=Homo sapiens OX=9606 GN=PRKAG1 PE=1 SV=1	0	9.01	6	2	3	2	331	37.6	6.92	9.88	2	cell communication;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;membrane;nucleus	catalytic activity;enzyme regulator activity;nucleotide binding;protein binding	"Pf00478, Pf00571"	5571	ENSG00000181929.11	12	AMP-activated Protein Kinase (AMPK) Signaling; Target Of Rapamycin (TOR) Signaling; Energy Metabolism; Sterol Regulatory Element-Binding Proteins (SREBP) signalling; Angiopoietin Like Protein 8 Regulatory Pathway; Leptin and adiponectin	PRKAG1	Glucagon signaling pathway; Insulin signaling pathway; Adipocytokine signaling pathway; Non-alcoholic fatty liver disease (NAFLD); Oxytocin signaling pathway; Longevity regulating pathway - multiple species; Longevity regulating pathway; Circadian rhythm; Hypertrophic cardiomyopathy (HCM); Insulin resistance; AMPK signaling pathway; FoxO signaling pathway	Translocation of GLUT4 to the plasma membrane; Energy dependent regulation of mTOR by LKB1-AMPK; TP53 Regulates Metabolic Genes; Regulation of TP53 Activity through Phosphorylation; Macroautophagy; Activation of PPARGC1A (PGC-1alpha) by phosphorylation	36	0		95.3	220.3	208.3	224.3	257	228.7	1	
High	Q9BY32	Inosine triphosphate pyrophosphatase OS=Homo sapiens OX=9606 GN=ITPA PE=1 SV=2	0	9.009	15	2	3	2	194	21.4	5.66	11.67	2	cell organization and biogenesis;metabolic process	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding;protein binding	Pf01725	3704	ENSG00000125877.12	20		ITPA	Drug metabolism - other enzymes; Metabolic pathways; Purine metabolism	Purine catabolism	7	0		106.6	295.9	328.6	347.8	265.8	145.2	1	
High	Q8TBX8	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens OX=9606 GN=PIP4K2C PE=1 SV=3	0	8.992	10	4	4	4	421	47.3	6.84	9.44	4	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;vacuole	catalytic activity;nucleotide binding;protein binding	Pf01504	79837	ENSG00000166908.17	12	Regulation of Actin Cytoskeleton	PIP4K2C	Regulation of actin cytoskeleton; Phosphatidylinositol signaling system; Inositol phosphate metabolism	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; PI5P Regulates TP53 Acetylation; Synthesis of PIPs at the plasma membrane; Synthesis of PIPs in the nucleus"	22	0		73.1	144.1	162.9	151.6	219.1	159.3	1	
High	Q9UKT9	Zinc finger protein Aiolos OS=Homo sapiens OX=9606 GN=IKZF3 PE=1 SV=2	0	8.99	8	3	5	1	509	58	6.55	15.2	3	metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;nucleus	DNA binding;metal ion binding;protein binding	"Pf00096, Pf13465"	22806	ENSG00000161405.16	17		IKZF3			0	0								1	
High	Q9ULZ2	Signal-transducing adaptor protein 1 OS=Homo sapiens OX=9606 GN=STAP1 PE=1 SV=1	0	8.988	14	4	4	4	295	34.3	7.77	8.43	4	regulation of biological process;response to stimulus	cytoplasm;mitochondrion;nucleus	protein binding	"Pf00017, Pf00169"	26228	ENSG00000035720.7	4		STAP1			0	0		214	233.1	246.9	227.4	107.8	82	1	
High	Q15042	Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3	0	8.988	3	2	2	2	981	110.5	5.55	7.39	2	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;cytosol;Golgi;membrane	enzyme regulator activity;protein binding	Pf13890	22930	ENSG00000115839.17	2		RAB3GAP1		COPI-independent Golgi-to-ER retrograde traffic; RAB GEFs exchange GTP for GDP on RABs	7	0		23.7	25.9	37.6	36.7	38.8	29.8	1	
High	B7Z7F3	Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1	0	8.985	8	3	5	3	494	52.9	4.83	12.79	3	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;nucleus	enzyme regulator activity;protein binding	Pf00638	8498	ENSG00000031823.14	19		RANBP3			0	0		22.8	67.2	67.7	48.7	51.1	34	1	
High	P05204	Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3	0	8.982	30	3	8	3	90	9.4	9.99	20.35	3		chromosome;cytoplasm;nucleus	DNA binding;protein binding;RNA binding		3151	ENSG00000198830.10	1		HMGN2			0	0		1889.2	2145.2	1826.6	1826.6	983.8	1504.3	1	
High	Q6Y1H2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 OS=Homo sapiens OX=9606 GN=HACD2 PE=1 SV=1	0	8.967	8	2	7	2	254	28.4	9.55	21.99	2	metabolic process	endoplasmic reticulum;membrane	catalytic activity;protein binding	Pf04387	201562	ENSG00000206527.9	3		PTPLB; HACD2	Biosynthesis of unsaturated fatty acids; Fatty acid metabolism; Fatty acid elongation	Synthesis of very long-chain fatty acyl-CoAs	8	0		985.2	698.7	707.9	722.5	632.5	1275.4	1	Met-loss [N-Term]
High	I3L4C2	Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1	0	8.958	7	3	4	3	553	61.3	8.94	12.64	3	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;Golgi;membrane	protein binding	"Pf00018, Pf07653, Pf08397, Pf14604"	10458	ENSG00000175866.15	17	Regulation of Actin Cytoskeleton	BAIAP2			1	0		91.9	49	59.5	60	274.9	119.5	1	
High	A0A494C0N4	Tetratricopeptide repeat protein 21B OS=Homo sapiens OX=9606 GN=TTC21B PE=1 SV=1	0	8.941	3	3	3	3	1274	145.9	6.61	9.17	3												0	0		179	216	91.4	77.6	134.5	65.8	1	
High	Q96LR5	Ubiquitin-conjugating enzyme E2 E2 OS=Homo sapiens OX=9606 GN=UBE2E2 PE=1 SV=1	0	8.936	18	3	6	1	201	22.2	7.71	16.68	3	metabolic process;regulation of biological process;response to stimulus		catalytic activity;nucleotide binding;protein binding	"Pf00179, Pf14461"	7325	ENSG00000182247.9	3		UBE2E2	Ubiquitin mediated proteolysis	Antigen processing: Ubiquitination & Proteasome degradation	5	0								1	
High	F5GYA2	Uracil-DNA glycosylase OS=Homo sapiens OX=9606 GN=UNG PE=1 SV=1	0	8.926	9	2	3	2	258	28.5	9.14	13.35	2	metabolic process;response to stimulus		catalytic activity	Pf03167		ENSG00000076248.10	12					0	0		160.1	116	132.4	109.3	58.2	49.4	1	
High	E7EVJ4	Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=1	0	8.92	5	2	3	2	511	56.3	9.7	9.02	2			RNA binding	Pf00035		ENSG00000040341.17	8					0	0								1	
High	Q8NCD3	Holliday junction recognition protein OS=Homo sapiens OX=9606 GN=HJURP PE=1 SV=2	0	8.913	4	2	2	2	748	83.5	9.31	7.27	2	cell organization and biogenesis;regulation of biological process	chromosome;cytosol;mitochondrion;nucleus	DNA binding;protein binding	"Pf10384, Pf12346, Pf12347"	55355	ENSG00000123485.11	2		HJURP		Deposition of new CENPA-containing nucleosomes at the centromere	4	0								1	
High	P56270	Myc-associated zinc finger protein OS=Homo sapiens OX=9606 GN=MAZ PE=1 SV=1	0	8.911	5	3	3	1	477	48.6	8.95	8.1	3	metabolic process;regulation of biological process	nucleus	DNA binding;metal ion binding;protein binding;RNA binding	Pf13465	4150	ENSG00000103495.13	16	Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	MAZ			1	0		16.1	28.4	26.9	27.8	30.6	37.8	1	
