Protein FDR Confidence: Combined	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Chromosome	WikiPathways	Gene Symbol	KEGG Pathways	Reactome Pathways	# Protein Pathway Groups	# Razor Peptides		"126, Day 2"	"127N, Day 7.5"	"128N, Day 8"	"129C, Day 10"	"130N, Day 12"	"131, Day 14"	# Protein Groups	Modifications
High	Q07666	"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1"	0	71.175	33	14	65	13	443	48.2	8.66	184.01	14	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	DNA binding;protein binding;RNA binding	"Pf00013, Pf13014"	10657	ENSG00000121774.17	1	Leptin signaling pathway	KHDRBS1		PTK6 Regulates Proteins Involved in RNA Processing	5	2	NA	6196.4	6059.8	6246.4	5726.7	3364.7	3916.4	1	
High	Q14137	Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2	0	70.779	28	15	33	15	746	83.6	6.19	110.2	15	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process	nucleus	protein binding;RNA binding	"Pf00400, Pf08145"	23246	ENSG00000261236.7	8		BOP1		Major pathway of rRNA processing in the nucleolus and cytosol	4	0	NA	2931.7	2482.6	2487.6	2586.9	1296.4	1158.1	1	
High	Q8WVV9	Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens OX=9606 GN=HNRNPLL PE=1 SV=1	0	70.709	33	14	33	13	542	60	7.72	103.24	14	metabolic process;regulation of biological process	membrane;nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	92906	ENSG00000143889.15	2		HNRNPLL; HNRPLL			0	0	NA	892.7	1410.2	1478.1	1541.4	1726.3	959.5	1	
High	P78332	RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5	0	70.658	24	26	37	26	1123	128.6	6.32	87.87	26	metabolic process	nucleus	DNA binding;protein binding;RNA binding	"Pf01585, Pf14259"	10180	ENSG00000004534.14	3		RBM6			0	0	NA	3683.1	2995	3054.5	3001.9	1682.2	1227.7	1	
High	P23396	40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2	0	70.283	72	17	73	17	243	26.7	9.66	232.86	17	cell death;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;mitochondrion;nucleus;organelle lumen;ribosome	catalytic activity;DNA binding;protein binding;RNA binding;structural molecule activity	"Pf00189, Pf07650"	6188	ENSG00000149273.14	11	Cytoplasmic Ribosomal Proteins	RPS3	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	38	0	NA	9112.2	4562.4	4885.9	4318	9400.4	7972.8	1	
High	Q07065	Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2	0	69.006	30	16	47	15	602	66	5.92	137.84	16	metabolic process;transport	cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;organelle lumen	RNA binding	Pf13166	10970	ENSG00000136026.13	12		CKAP4	Protein processing in endoplasmic reticulum	Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Surfactant metabolism; Neutrophil degranulation	9	0	NA	1188.6	364.1	393.3	317.1	11247.6	7625.1	1	
High	J3KTL2	Serine/arginine-rich-splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=1	0	67.461	54	15	99	15	253	28.3	10.08	279.19	15	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;nucleus;spliceosomal complex	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6426	ENSG00000136450.12	17	mRNA Processing	SRSF1			1	0	NA	10326.4	8050.6	8152.2	9194.9	5760.1	10604.9	1	
High	Q13151	Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1	0	66.11	51	11	64	9	305	30.8	9.29	208.99	11	defense response;metabolic process;regulation of biological process;response to stimulus	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	10949	ENSG00000177733.6	5		HNRNPA0		mRNA Splicing - Major Pathway	4	0	NA	6497.2	5675	5874.5	5668.8	3708.4	2965.4	1	
High	Q9UMR2	ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1	0	64.927	38	17	32	2	479	53.9	6.3	103.82	17	metabolic process;regulation of biological process;transport	cytoplasm;membrane;nucleus;spliceosomal complex	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271"	11269	ENSG00000157349.16	16		DDX19B			0	15	NA	1305.2	2937.6	2946.1	2921.8	1789	1332.1	1	
High	Q9NQZ2	Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1	0	64.843	28	11	23	11	479	54.5	5.62	82.93	11	cell organization and biogenesis;development;metabolic process	nucleus	protein binding;RNA binding	"Pf04000, Pf09368"	57050	ENSG00000132467.3	4		UTP3		Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	5	0	NA	1706.5	1808.8	1655.8	1591.3	923	663.6	1	
High	D6R9P3	Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1	0	63.379	49	15	74	13	280	30.3	7.91	220.53	15			RNA binding	"Pf00076, Pf08143, Pf13893, Pf14259"		ENSG00000197451.11	5	Preimplantation Embryo				1	0	NA	3428.5	5060.7	4715.5	4737.5	3608.2	3831.3	1	
High	Q15637	Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4	0	63.029	21	10	40	9	639	68.3	8.98	121.24	10	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process	nucleus;ribosome;spliceosomal complex	metal ion binding;protein binding;RNA binding	"Pf00013, Pf00098, Pf13014"	7536	ENSG00000168066.20	11		SF1		mRNA Splicing - Major Pathway	4	1	NA	1287.6	1879.2	1849.3	1739.2	1054	1128.4	1	
High	P52756	RNA-binding protein 5 OS=Homo sapiens OX=9606 GN=RBM5 PE=1 SV=2	0	62.781	18	14	29	12	815	92.1	6.28	81.33	14	cell death;cell organization and biogenesis;metabolic process;regulation of biological process	nucleus;spliceosomal complex	DNA binding;metal ion binding;protein binding;RNA binding	"Pf00076, Pf00641, Pf01585, Pf12656, Pf14259"	10181	ENSG00000003756.16	3	mRNA Processing	RBM5		mRNA Splicing - Major Pathway	5	0	NA	1943.7	2183.1	2147.1	2343.4	1498.4	1234.8	1	
High	Q9H501	ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1	0	61.759	23	17	27	17	851	98.7	5.11	76.9	17	metabolic process;regulation of biological process	nucleus	RNA binding	Pf08159	51575	ENSG00000089048.14	20		ESF1			0	0	NA	1719.3	1616.9	1627.3	1640.9	946.4	816	1	
High	D6RIY6	Exosome complex component RRP45 OS=Homo sapiens OX=9606 GN=EXOSC9 PE=1 SV=1	0	61.758	30	11	26	11	423	46.9	5.16	82.04	11	metabolic process;regulation of biological process;response to stimulus	chromosome;cytoplasm;cytosol;nucleus	catalytic activity;protein binding;RNA binding	"Pf01138, Pf03725"	5393	ENSG00000123737.12	4		EXOSC9			0	0	NA	1722.9	2550.2	2501.8	2390.1	1267.8	958	1	
High	Q9HAV4	Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1	0	61.347	18	17	31	17	1204	136.2	5.8	81.6	17	metabolic process;regulation of biological process;transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding;transporter activity	Pf08389	57510	ENSG00000124571.17	6	miRNA Biogenesis; RNA interference	XPO5	RNA transport	MicroRNA (miRNA) biogenesis	6	0	NA	582.1	1239	1318.6	1367.5	776.5	404	1	
High	Q14191	Werner syndrome ATP-dependent helicase OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2	0	60.916	15	18	27	18	1432	162.4	6.34	80.01	18	cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00270, Pf00271, Pf00570, Pf01612, Pf09382, Pf14493"	7486	ENSG00000165392.9	8		WRN		G2/M DNA damage checkpoint; Presynaptic phase of homologous DNA pairing and strand exchange; Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA); Processing of DNA double-strand break ends; HDR through Single Strand Annealing (SSA); Regulation of TP53 Activity through Phosphorylation; SUMOylation of DNA damage response and repair proteins; Resolution of D-loop Structures through Holliday Junction Intermediates	27	0	NA	758.4	1455.4	1522.1	1572.6	1074.1	733.8	1	
High	B7Z7P8	Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1	0	60.019	33	13	31	7	423	47.4	5.57	90.01	13	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;nucleus	protein binding;RNA binding	"Pf01248, Pf03463, Pf03464, Pf03465"	2107	ENSG00000120705.12	5	Translation Factors	ETF1			1	6	NA	1603	2310.5	1929.1	2014.6	2725.2	2446.9	1	
High	Q9NW64	Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1	0	59.581	39	14	33	14	420	46.9	8.54	103.34	14	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus;spliceosomal complex	metal ion binding;nucleotide binding;protein binding;RNA binding;transporter activity	"Pf00076, Pf13893, Pf14259"	55696	ENSG00000086589.11	5		RBM22	Spliceosome	mRNA Splicing - Major Pathway	5	0	NA	2449.1	2296	2414.4	2494.3	1563.1	1691.7	1	
High	Q4G0J3	La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1	0	59.386	26	14	24	14	582	66.9	9.55	71.79	14	metabolic process	cytosol;nucleus	protein binding;RNA binding	"Pf00076, Pf05383, Pf08777, Pf13893, Pf14259"	51574	ENSG00000174720.15	4		LARP7			0	0	NA	1199.6	1654	1550.4	1569	1221.4	906.3	1	
High	Q08170	Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2	0	58.893	24	14	43	8	494	56.6	11.52	134.42	14	metabolic process;regulation of biological process;response to stimulus;transport	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	6429	ENSG00000116350.16	1	mRNA Processing	SRSF4	Spliceosome; Herpes simplex infection	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	14	0	NA	1889.2	1415.9	1354.3	1413.1	927.1	1492.2	1	
High	Q05048	Cleavage stimulation factor subunit 1 OS=Homo sapiens OX=9606 GN=CSTF1 PE=1 SV=1	0	58.708	30	11	30	11	431	48.3	6.58	93.94	11	metabolic process	nucleus	protein binding;RNA binding	"Pf00400, Pf11768"	1477	ENSG00000101138.11	20	mRNA Processing	CSTF1	mRNA surveillance pathway	Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs; mRNA 3'-end processing; mRNA Splicing - Major Pathway	13	0	NA	1353.3	1862.3	1863	1935.9	1069.7	1098.6	1	
High	Q9P287	BRCA2 and CDKN1A-interacting protein OS=Homo sapiens OX=9606 GN=BCCIP PE=1 SV=1	0	58.634	49	13	23	13	314	36	4.61	68.75	13	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;nucleus	enzyme regulator activity;protein binding;RNA binding	Pf13862	56647	ENSG00000107949.16	10		BCCIP			0	0	NA	348.3	725.7	745.5	804.4	642.4	396.9	1	
High	P26196	Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2	0	58.331	35	12	28	12	483	54.4	8.66	84.26	12	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf14617"	1656	ENSG00000110367.11	11		DDX6	RNA degradation	mRNA decay by 5' to 3' exoribonuclease	4	0	NA	3499.8	1187.3	1282.2	1298.7	2429.3	2287.6	1	
High	Q12972	Nuclear inhibitor of protein phosphatase 1 OS=Homo sapiens OX=9606 GN=PPP1R8 PE=1 SV=2	0	58.221	34	9	21	9	351	38.5	7.37	82.43	9	cell proliferation;metabolic process;regulation of biological process	cytoplasm;nucleus;spliceosomal complex	catalytic activity;DNA binding;enzyme regulator activity;protein binding;RNA binding	Pf00498	5511	ENSG00000117751.17	1		PPP1R8			0	0	NA	484.4	878.4	864	899.8	563.4	566.6	1	
High	E7EX17	Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=1	0	57.307	26	14	26	14	616	69.7	5.67	85.26	14	cell organization and biogenesis;metabolic process;regulation of biological process	cytosol	catalytic activity;protein binding;RNA binding	"Pf00076, Pf14259"	1975	ENSG00000063046.17	12	Translation Factors; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Interferon type I signaling pathways	EIF4B			3	0	NA	1614.3	2058.3	1748.4	1366.7	1668	1820.3	1	
High	Q13283	Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1	0	56.512	32	10	32	10	466	52.1	5.52	111.13	10	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00076, Pf02136, Pf13893, Pf14259"	10146	ENSG00000145907.14	5		G3BP1			0	0	NA	4195.8	1464.8	1552.8	1562.3	3565.3	3086.4	1	
High	P36542	"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1"	0	56.046	49	12	50	12	298	33	9.22	131.14	12	cell organization and biogenesis;metabolic process;transport	membrane;mitochondrion;organelle lumen	catalytic activity;RNA binding;transporter activity	Pf00231	509	ENSG00000165629.19	10	Electron Transport Chain	ATP5C1	Metabolic pathways; Huntington's disease; Alzheimer's disease; Oxidative phosphorylation; Parkinson's disease	Cristae formation; Formation of ATP by chemiosmotic coupling	13	0	NA	3167	2944.5	2938.5	2270.2	3979.6	6560.5	1	
High	P62487	DNA-directed RNA polymerase II subunit RPB7 OS=Homo sapiens OX=9606 GN=POLR2G PE=1 SV=1	0	55.977	72	9	26	9	172	19.3	5.54	76.56	9	cell death;metabolic process;regulation of biological process;response to stimulus	nucleus	catalytic activity;DNA binding;protein binding;RNA binding	"Pf00575, Pf03876"	5436	ENSG00000168002.11	11	Eukaryotic Transcription Initiation	POLR2G	RNA polymerase; Huntington's disease; Metabolic pathways; Purine metabolism; Epstein-Barr virus infection; Pyrimidine metabolism	Signaling by FGFR2 IIIa TM; RNA polymerase II transcribes snRNA genes; Abortive elongation of HIV-1 transcript in the absence of Tat; Tat-mediated HIV elongation arrest and recovery; Activation of anterior HOX genes in hindbrain development during early embryogenesis; Formation of HIV-1 elongation complex containing HIV-1 Tat; MicroRNA (miRNA) biogenesis; Formation of the HIV-1 Early Elongation Complex; mRNA Splicing - Major Pathway; FGFR2 alternative splicing; mRNA Splicing - Minor Pathway; TP53 Regulates Transcription of DNA Repair Genes; Transcriptional regulation by small RNAs; HIV Transcription Initiation; RNA Pol II CTD phosphorylation and interaction with CE during HIV infection; Formation of RNA Pol II elongation complex ; RNA Polymerase II Pre-transcription Events; RNA Polymerase II HIV Promoter Escape; Formation of HIV elongation complex in the absence of HIV Tat; Transcriptional regulation of pluripotent stem cells; Gap-filling DNA repair synthesis and ligation in TC-NER; RNA Polymerase II Transcription Pre-Initiation And Promoter Opening; Formation of TC-NER Pre-Incision Complex; Pausing and recovery of HIV elongation; RNA Polymerase II Promoter Escape; HIV elongation arrest and recovery; RNA Pol II CTD phosphorylation and interaction with CE; Viral Messenger RNA Synthesis; RNA Polymerase II Transcription Initiation; mRNA Capping; Dual incision in TC-NER; PIWI-interacting RNA (piRNA) biogenesis; Pausing and recovery of Tat-mediated HIV elongation; Formation of the Early Elongation Complex	75	0	NA	1510.1	1850.2	1891.2	1615.2	1151.9	774.9	1	
High	O43818	U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens OX=9606 GN=RRP9 PE=1 SV=1	0	54.625	43	14	38	14	475	51.8	7.85	122.21	14	metabolic process	nucleus	protein binding;RNA binding	Pf00400	9136	ENSG00000114767.6	3		RRP9		Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	5	0	NA	4024.7	3334.1	2963.7	2735.3	1277.6	1441	1	
High	Q8WUA2	Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1	0	54.536	33	15	28	15	492	57.2	5.92	91.3	15	metabolic process;regulation of biological process	cytosol;nucleus	catalytic activity;RNA binding	"Pf00076, Pf00160, Pf13893, Pf14259"	85313	ENSG00000131013.3	6		PPIL4		mRNA Splicing - Major Pathway	4	0	NA	1226.1	2373.7	2524.8	2501.7	1748.6	1198.7	1	
High	H0Y3P2	Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1	0	54.169	17	15	25	15	869	98.1	6.99	72.39	15			protein binding;RNA binding	"Pf02020, Pf02847, Pf02854"		ENSG00000110321.16	11					0	0	NA	1261.7	680.1	677.4	688.9	1655.6	861.8	1	
High	P33240	Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1	0	53.578	28	12	26	5	577	60.9	6.83	87.72	12	metabolic process	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259, Pf14304, Pf14327"	1478	ENSG00000101811.13	X	mRNA Processing	CSTF2	mRNA surveillance pathway	Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs; mRNA 3'-end processing; mRNA Splicing - Major Pathway; tRNA processing in the nucleus	15	7	NA	1954	2239.3	2007.4	1818.2	1342	1635.4	1	
High	B0QYK0	RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1	0	53.074	18	8	32	8	618	64.9	9.38	129.14	8	metabolic process;regulation of biological process	cytoplasm;membrane;nucleus	metal ion binding;protein binding;RNA binding	"Pf00076, Pf00641, Pf14259"	2130	ENSG00000182944.17	22		EWSR1			0	0	NA	1559.1	2431	2472.4	2628	2013.9	1275.2	1	
High	H0Y5F5	Polyadenylate-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1	0	52.809	29	13	27	1	550	60.2	9.41	85.29	13		cytoplasm;cytosol	RNA binding	"Pf00076, Pf00658, Pf13893, Pf14259"		ENSG00000090621.13	1					0	0	NA	77.3	39.5	35.6	41.1	88.8	96.1	1	
High	Q01085	Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1	0	52.233	34	10	38	7	375	41.6	7.74	117.97	10	cell death;cell division;defense response;regulation of biological process;response to stimulus	cytoplasm;nucleus;vacuole	DNA binding;RNA binding	"Pf00076, Pf13893, Pf14259"	7073	ENSG00000151923.17	10		TIAL1		FGFR2 alternative splicing	5	0	NA	2863.2	3281.1	3440.6	3860.1	2112.1	2348.1	1	
High	P42696	RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2	0	52.143	32	11	19	11	430	48.5	10.11	65.43	11		nucleus	RNA binding	"Pf00076, Pf14259"	23029	ENSG00000188739.14	1		RBM34			0	0	NA	1994.8	1777.6	1725.1	1813.4	916.6	648.3	1	
High	O43823	A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1	0	51.193	28	12	23	12	692	76.1	5.15	82.38	12	cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus;transport	chromosome;cytoplasm;Golgi;membrane;mitochondrion;nucleus	DNA binding;metal ion binding;protein binding;RNA binding	Pf04988	10270	ENSG00000105127.8	19	G Protein Signaling Pathways	AKAP8			1	0	NA	1909.3	2405.6	2432.7	2302.5	1281.1	1167.4	1	
High	O60832	H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3	0	50.581	25	14	28	14	514	57.6	9.42	79.29	14	cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process	cytoplasm;nucleus	catalytic activity;protein binding;RNA binding	"Pf01472, Pf01509, Pf08068"	1736	ENSG00000130826.17	X		DKC1	Ribosome biogenesis in eukaryotes	rRNA modification in the nucleus and cytosol; Telomere Extension By Telomerase	10	0	NA	5465.4	2325.3	1998	1878	1066	2195.8	1	
High	Q14789	Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	0	49.929	6	17	20	17	3259	375.8	5	52.21	17	cell organization and biogenesis;metabolic process;regulation of biological process;transport	Golgi;membrane	catalytic activity;DNA binding;motor activity;protein binding;RNA binding;transporter activity	"Pf01496, Pf01576, Pf04111, Pf07888, Pf09726"	2804	ENSG00000173230.15	3		GOLGB1		COPI-mediated anterograde transport; Golgi Associated Vesicle Biogenesis	11	0	NA	830.9	336	387	263.9	695.4	709.1	1	
High	Q08J23	RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2	0	49.828	30	15	22	15	767	86.4	6.77	63.03	15	cell division;metabolic process	cytoplasm;cytoskeleton;nucleus	catalytic activity;RNA binding	"Pf01189, Pf13659"	54888	ENSG00000037474.14	5		NSUN2		tRNA modification in the nucleus and cytosol	3	0	NA	463.1	334.8	375.1	374.1	1044.8	378.5	1	
High	Q13601	KRR1 small subunit processome component homolog OS=Homo sapiens OX=9606 GN=KRR1 PE=1 SV=4	0	49.67	25	10	33	10	381	43.6	9.77	99.55	10	metabolic process	cytoplasm;membrane;nucleus	protein binding;RNA binding	Pf00013	11103	ENSG00000111615.13	12		KRR1		Major pathway of rRNA processing in the nucleolus and cytosol; rRNA modification in the nucleus and cytosol	5	0	NA	4673.2	4619.3	4232.8	4366	2663.4	2597	1	
High	E9PFP8	Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=1	0	49.5	20	6	39	1	361	38.2	8.06	135.17	6			RNA binding	"Pf00013, Pf13014"		ENSG00000183570.16	21					0	0	NA	91.9	141.6	167.8	204.3	188.9	161.7	1	
High	F8W8I6	Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=1	0	49.358	37	11	39	8	385	42.8	7.74	121.93	11	cell death;regulation of biological process;response to stimulus	cytoplasm;cytosol	protein binding;RNA binding	"Pf00076, Pf04847, Pf13893, Pf14259"	7072	ENSG00000116001.15	2		TIA1			0	4	NA	1777.1	2390.7	2334.1	2502.7	1439.6	1369.9	1	
High	Q13242	Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1	0	48.925	47	11	33	11	221	25.5	8.65	91.07	11	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	8683	ENSG00000111786.8	12	mRNA Processing	SRSF9	Herpes simplex infection; Spliceosome	Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	14	0	NA	5588.1	2600.4	2444.1	2386.7	1502.9	2115.9	1	
High	Q05519	Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1	0	48.846	22	10	39	10	484	53.5	10.52	121.17	10	metabolic process;transport	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259"	9295	ENSG00000116754.13	1		SRSF11		Cleavage of Growing Transcript in the Termination Region ; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; mRNA Splicing - Major Pathway	11	0	NA	1824	3591.8	3805.3	3500.6	2167.6	1903.5	1	
High	Q9H0L4	Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1	0	48.709	25	11	22	4	616	64.4	7.25	68.59	11	metabolic process	nucleus	protein binding;RNA binding	"Pf00076, Pf13893, Pf14259, Pf14304, Pf14327"	23283	ENSG00000177613.8	10	mRNA Processing	CSTF2T	mRNA surveillance pathway	Cleavage of Growing Transcript in the Termination Region ; Processing of Intronless Pre-mRNAs; mRNA 3'-end processing; mRNA Splicing - Major Pathway	13	0	NA	253.3	144.1	123	88.4	65.2	108.1	1	
High	Q8TEQ6	Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3	0	48.625	11	13	16	13	1508	168.5	6.62	47.05	13	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;membrane;nucleus	protein binding;RNA binding	Pf00400	25929	ENSG00000082516.8	5		GEMIN5	RNA transport	snRNP Assembly	4	0	NA	1122.2	665.4	662.5	587.6	532.7	536.4	1	
High	P10155	60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2	0	48.21	27	13	21	13	538	60.6	8.03	62.23	13	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	metal ion binding;RNA binding	"Pf05731, Pf09967, Pf13519"	6738	ENSG00000116747.12	1		TROVE2	Systemic lupus erythematosus		1	0	NA	490.5	1557.2	1473	1128.5	1247.3	1030.3	1	
High	D6RF44	Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8	0	48.016	61	7	64	1	111	12.5	8.57	179.89	7			RNA binding	"Pf00076, Pf13893, Pf14259"		ENSG00000138668.18	4					0	0	NA	14.6	434.3	282.3	249.2	133.9	30.3	1	
High	B3KS98	Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1	0	47.56	34	10	25	10	366	41.6	7.33	73.21	10	cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytosol;membrane	protein binding;RNA binding	Pf01398	8667	ENSG00000147677.10	8	Translation Factors	EIF3H			1	0	NA	2430.2	1213.5	1290.5	1321.4	2430.8	2659.7	1	
